node_id,x,y,ux,uy
0.000000000000000000e+00,1.150000000000000050e-01,0.000000000000000000e+00,5.221702710831914809e-05,-7.576752183598693162e-07
1.000000000000000000e+00,1.150000000000000050e-01,-2.500000000000000052e-04,5.223613333153527170e-05,-1.199239429876350958e-06
2.000000000000000000e+00,1.270000000000000018e-01,-2.500000000000000052e-04,5.738132104062664419e-05,-5.277045078919698296e-07
3.000000000000000000e+00,1.270000000000000018e-01,2.500000000000000052e-04,5.751290981744464390e-05,-1.171532710016438573e-06
4.000000000000000000e+00,1.150000000000000050e-01,2.500000000000000052e-04,5.208248580745709509e-05,-1.727837232270496646e-07
2.400000000000000000e+01,8.500000000000000611e-02,1.084183805627360004e-16,2.142935638444846280e-05,1.775199481650844537e-06
4.000000000000000000e+01,1.168054556796408044e-01,-2.500000000000000052e-04,5.282781895316738022e-05,9.142726545862458885e-07
4.100000000000000000e+01,1.186109113592816039e-01,-2.500000000000000052e-04,5.369449472494143788e-05,1.216929417934639058e-06
4.200000000000000000e+01,1.199617094480135981e-01,-2.500000000000000052e-04,5.432074997951571429e-05,1.237864878685069985e-06
4.300000000000000000e+01,1.213125075367456063e-01,-2.500000000000000052e-04,5.490988389416813633e-05,1.150515503062275822e-06
4.400000000000000000e+01,1.223231938828515941e-01,-2.500000000000000052e-04,5.535635870490993537e-05,1.022553187243909782e-06
4.500000000000000000e+01,1.233338802289574987e-01,-2.500000000000000052e-04,5.580482945644395525e-05,8.299156258179814322e-07
4.600000000000000000e+01,1.240900114967236068e-01,-2.500000000000000052e-04,5.611494092757756411e-05,6.307849971367538489e-07
4.700000000000000000e+01,1.248461427644896038e-01,-2.500000000000000052e-04,5.638316814798471113e-05,4.292286966036907253e-07
4.800000000000000000e+01,1.254135279488184096e-01,-2.500000000000000052e-04,5.658345291022608419e-05,3.064382482099188854e-07
4.900000000000000000e+01,1.259809131331471044e-01,-2.500000000000000052e-04,5.684412602196545954e-05,1.742129918952347535e-07
5.000000000000000000e+01,1.264904565665735114e-01,-2.500000000000000052e-04,5.712518382055697415e-05,-4.297028864763148462e-08
5.100000000000000000e+01,1.270000000000000018e-01,0.000000000000000000e+00,5.753421530582484704e-05,-8.337469689087361981e-07
5.200000000000000000e+01,1.264904565665735114e-01,2.500000000000000052e-04,5.727048965008567431e-05,-1.593736386217055735e-06
5.300000000000000000e+01,1.259809131331471044e-01,2.500000000000000052e-04,5.702377304570283554e-05,-1.853785056379154755e-06
5.400000000000000000e+01,1.254135279488184096e-01,2.500000000000000052e-04,5.677349739328527102e-05,-2.193114603027509880e-06
5.500000000000000000e+01,1.248461427644896038e-01,2.500000000000000052e-04,5.647049581428386896e-05,-2.420280053144024716e-06
5.600000000000000000e+01,1.240900114967236068e-01,2.500000000000000052e-04,5.611075071061867202e-05,-2.563386522513562762e-06
5.700000000000000000e+01,1.233338802289575958e-01,2.500000000000000052e-04,5.582854902370808957e-05,-2.675975116447192132e-06
5.800000000000000000e+01,1.223231938828515941e-01,2.500000000000000052e-04,5.546547649081593194e-05,-2.855389677487084967e-06
5.900000000000000000e+01,1.213125075367456063e-01,2.500000000000000052e-04,5.504967785616432112e-05,-3.031440884827564712e-06
6.000000000000000000e+01,1.199617094480135981e-01,2.500000000000000052e-04,5.443505696967767637e-05,-3.151903798183830568e-06
6.100000000000000000e+01,1.186109113592816039e-01,2.500000000000000052e-04,5.377564750093949560e-05,-3.116840929928846256e-06
6.200000000000000000e+01,1.168054556796408044e-01,2.500000000000000052e-04,5.297175882488106214e-05,-2.700056082936490983e-06
1.790000000000000000e+02,0.000000000000000000e+00,2.220446049250313081e-16,0.000000000000000000e+00,0.000000000000000000e+00
2.780000000000000000e+02,2.000000000000000111e-01,-2.220446049250313081e-16,8.443668694801765098e-05,-2.029462631523868574e-06
3.950000000000000000e+02,1.150000000000000050e-01,-1.250000000000000026e-04,5.227462245745464038e-05,-8.733883978169913582e-07
3.960000000000000000e+02,1.150000000000000050e-01,1.250000000000000026e-04,5.222578252291985715e-05,-5.791184955356496138e-07
4.060000000000000000e+02,1.943986902531066874e-01,2.387845739271862895e-04,8.280838615289826956e-05,-1.798739667250600873e-06
4.790000000000000000e+02,5.989347554908583393e-03,-6.716823109783020633e-06,1.283965039904991420e-06,4.503318878693755844e-08
6.260000000000000000e+02,7.948951211916502335e-02,-5.032489274978911836e-04,2.103843695148540147e-05,1.387179069327438819e-06
6.920000000000000000e+02,1.197247576140907967e-02,-2.049399105161326079e-05,2.487118933281912305e-06,8.686266889344229442e-08
7.920000000000000000e+02,1.889396988750678130e-01,5.815209286605184684e-04,8.121519692380910151e-05,-1.518210161495716333e-06
8.050000000000000000e+02,1.794863707077953840e-02,-4.201153815357540794e-05,3.610101639074438609e-06,1.341324591227731346e-07
8.600000000000000000e+02,1.275966955836700945e-01,2.758116349836250264e-04,5.767755111017778771e-05,-9.048033485933568208e-07
9.900000000000000000e+02,2.390428088253427827e-02,-7.664708011847698389e-05,4.644308435612214181e-06,2.005551757638120771e-07
1.017000000000000000e+03,1.837288646466322950e-01,8.380941906865179564e-04,7.960404058899297412e-05,-1.372362796375845796e-06
1.071000000000000000e+03,1.269219341215760966e-01,8.749806821530309222e-04,5.727664732012963957e-05,-1.497249621936729652e-06
1.078000000000000000e+03,1.275519969689317967e-01,-3.576229358246972882e-04,5.754032700018656664e-05,-6.828647963163139142e-07
1.079000000000000000e+03,1.281543741910088907e-01,-8.824103004136304171e-04,5.741363357214110185e-05,-5.122624855703429883e-07
1.125000000000000000e+03,6.279792425184491100e-02,-2.025730478849775045e-04,1.679729703569447091e-05,8.031046103543759058e-07
1.197000000000000000e+03,1.276645581689354880e-01,9.672773965852958554e-04,5.754644754890783322e-05,-1.169088553694802532e-06
1.198000000000000000e+03,1.283062413263653945e-01,-1.538470918483469951e-04,5.773788922940943256e-05,-7.105388875932515475e-07
1.254000000000000000e+03,1.788201812041727012e-01,8.671972537964097762e-04,7.793831825571543995e-05,-1.467576744189950590e-06
1.312000000000000000e+03,1.286217957939443102e-01,9.463394717228177429e-04,5.793033785283796679e-05,-9.836709932502752820e-07
1.313000000000000000e+03,1.292911068827730936e-01,-6.877254841399757556e-04,5.799915747262082450e-05,-4.858374448421034874e-07
1.332000000000000000e+03,1.741058225664028070e-01,6.792689067033290786e-04,7.623707265300319711e-05,-1.658878054988157660e-06
1.338000000000000000e+03,1.301347403181548068e-01,6.372676874163694417e-04,5.856214222160858741e-05,-7.520009381808391769e-07
1.375000000000000000e+03,2.976481496562173937e-02,-1.768124182445081870e-04,5.575628461121932340e-06,2.933417088496846965e-07
1.439000000000000000e+03,3.545203284311577996e-02,-4.889063023285711383e-04,6.458573547799880481e-06,4.163568358734563097e-07
1.461000000000000000e+03,1.314849935256119928e-01,-7.795784748712737688e-04,5.917132030101498601e-05,-5.099232197283863223e-07
1.569000000000000000e+03,1.690413706268432126e-01,3.274361879103504882e-04,7.420221030044371786e-05,-1.896991733227040599e-06
1.633000000000000000e+03,1.320442461522225996e-01,8.629005054862499665e-04,5.946571270211414980e-05,-8.514596852577432299e-07
1.831000000000000000e+03,1.338554479611772929e-01,4.927703823642855382e-04,6.024167387804773866e-05,-8.753801428376355202e-07
1.917000000000000000e+03,1.364473297163162069e-01,-1.920683373857787028e-04,6.127980199861468894e-05,-1.040905370671763468e-06
2.065000000000000000e+03,1.396307125656746917e-01,1.066457991195264034e-04,6.222726285507349463e-05,-9.757530421708678893e-07
2.090000000000000000e+03,1.427590377818084011e-01,2.381561100021614068e-04,6.313880934070687076e-05,-8.412589040023548559e-07
2.150000000000000000e+03,1.457585528082112059e-01,2.558634395830906849e-04,6.405152637734557440e-05,-8.191413243935768236e-07
2.179000000000000000e+03,1.492238740678570041e-01,-9.527699598862133861e-04,6.564813419072094590e-05,-6.121990157802474332e-07
2.237000000000000000e+03,1.269609670607879937e-01,5.624903410765154637e-04,5.738889624261408627e-05,-1.345824860155803946e-06
2.238000000000000000e+03,1.264514236273615866e-01,5.624903410765154637e-04,5.715916377704568309e-05,-1.716076140936866534e-06
2.300000000000000000e+03,4.455280321912521990e-02,8.270387026028552281e-04,8.825957374869351026e-06,6.302033844297896114e-07
2.367000000000000000e+03,6.852859535591609985e-02,5.200485252236000232e-04,1.843191560486568878e-05,9.587462121959053294e-07
2.368000000000000000e+03,1.279291191476485956e-01,-2.557350138365220875e-04,5.762518109801900484e-05,-6.963536338175597561e-07
2.369000000000000000e+03,1.279514684550178139e-01,6.098227156763896145e-05,5.770309953269813668e-05,-7.844004276919992595e-07
2.370000000000000000e+03,1.275743462763009872e-01,-4.090565042053615798e-05,5.765202020443854840e-05,-7.872791698627874384e-07
2.416000000000000000e+03,1.649188761525356983e-01,5.474541982556095816e-05,7.259191939165613296e-05,-2.069575714931360845e-06
2.417000000000000000e+03,1.670359759539407074e-01,-7.404486599387140235e-04,7.348285272055654507e-05,-2.059313604405747978e-06
2.581000000000000000e+03,1.317646198389172962e-01,4.166101530748803782e-05,5.936170102502324444e-05,-6.369070431593047925e-07
2.582000000000000000e+03,1.310894932351887032e-01,7.500840964513096499e-04,5.902032576476523454e-05,-7.968845985351886383e-07
2.583000000000000000e+03,1.308098669218833998e-01,-7.115539372745216355e-05,5.883525941581990211e-05,-6.011084735610592522e-07
2.600000000000000000e+03,1.474912134380340911e-01,-3.484532601515612964e-04,6.470675661495017676e-05,-6.964225994521086429e-07
2.661000000000000000e+03,2.994673777454299069e-03,-3.358411554780488014e-06,6.522480923431215537e-07,2.303675442184749852e-08
4.278000000000000000e+03,8.980911658158841071e-03,-1.360540708069813944e-05,1.895248544639622735e-06,6.541754870408463501e-08
4.623000000000000000e+03,1.496055641609430990e-02,-3.125276460259433775e-05,3.058734306642363711e-06,1.085347096806021586e-07
5.037000000000000000e+03,2.092645897665689966e-02,-5.932930913602619931e-05,4.138421225685896224e-06,1.624605584431473616e-07
5.144000000000000000e+03,2.683454792407800882e-02,-1.267297491814925990e-04,5.119342955178488814e-06,2.359142904324896203e-07
5.172000000000000000e+03,3.260842390436875793e-02,-3.328593602865397168e-04,6.008584599779998007e-06,3.272607197939038060e-07
5.487000000000000000e+03,1.715735965966229959e-01,5.033525473068398105e-04,7.526641286103201770e-05,-1.778213843295353722e-06
5.509000000000000000e+03,1.971993451265532937e-01,1.193922869634820954e-04,8.362309579208210698e-05,-1.913257535028557900e-06
5.728000000000000000e+03,1.259320755859532903e-01,9.053036915831973825e-04,5.672147632941801479e-05,-1.985500179230934426e-06
5.730000000000000000e+03,1.248161968316415932e-01,8.912758424571798300e-04,5.625101638100762821e-05,-2.540295407092568860e-06
5.731000000000000000e+03,1.253741362087973932e-01,8.982897670201886063e-04,5.649521663177749898e-05,-2.283474449570151632e-06
5.832000000000000000e+03,1.411948751737414909e-01,1.724009545608439051e-04,6.269916246925761520e-05,-8.991190742259332766e-07
5.934000000000000000e+03,1.329498470566999047e-01,6.778354439252677523e-04,5.987233037041238140e-05,-8.638964622703340364e-07
5.994000000000000000e+03,1.916691945640872086e-01,4.101527512938523789e-04,8.201521099886333987e-05,-1.655690943429792727e-06
6.151000000000000000e+03,1.442587952950097896e-01,2.470097747926260729e-04,6.355738172512885695e-05,-8.540582265603384297e-07
6.275000000000000000e+03,1.571272503185258129e-01,-9.844107572581353369e-05,6.994977811472245289e-05,-2.131893095898841629e-06
6.277000000000000000e+03,1.612651989442057121e-01,-9.059298041294832488e-05,7.150278330633603433e-05,-2.256176760465725472e-06
6.278000000000000000e+03,1.591962246313657903e-01,-9.451702806938092928e-05,7.073497514323137181e-05,-2.237262954937452688e-06
6.444000000000000000e+03,1.764630018852877957e-01,7.732330802498693732e-04,7.709798798545668141e-05,-1.568546477759017785e-06
6.545000000000000000e+03,7.670588504512272643e-02,-8.164130525024719792e-04,2.058691523011146421e-05,1.454843960515813248e-06
6.555000000000000000e+03,1.380390211409953938e-01,-4.271126913312617681e-05,6.173251843478202690e-05,-1.040113557734064957e-06
6.606000000000000000e+03,4.898602257888762246e-02,1.831936432629350034e-04,1.152022881847178250e-05,6.282865499601569485e-07
6.629000000000000000e+03,1.272759984844659131e-01,-3.038114679123485925e-04,5.748737202307853541e-05,-6.787301908619994813e-07
6.630000000000000000e+03,1.272983477918349926e-01,2.629058174918124887e-04,5.760729139616660162e-05,-9.649631941571082786e-07
6.631000000000000000e+03,1.272871731381504945e-01,-2.045282521026807899e-05,5.760808959413383720e-05,-8.175510253754280022e-07
6.686000000000000000e+03,1.863342817608500124e-01,7.098075596735182666e-04,8.042895686992144262e-05,-1.427485216615399972e-06
6.689000000000000000e+03,1.248820113071187066e-01,-9.887769334893806508e-04,5.626083807593641468e-05,5.210470380786836690e-07
6.696000000000000000e+03,1.812745229254024981e-01,8.526457222414638663e-04,7.878900077455641118e-05,-1.413283833272345439e-06
6.761000000000000000e+03,1.276306268763028051e-01,6.215445157844604138e-04,5.762785222142500336e-05,-1.037715195850800117e-06
6.762000000000000000e+03,1.272932461452558062e-01,9.211290393691634430e-04,5.740991045019630523e-05,-1.263314949205334505e-06
6.763000000000000000e+03,1.272957969685453994e-01,5.920174284304879388e-04,5.752050526631639427e-05,-1.140597589218174695e-06
6.918000000000000000e+03,1.281431769814398991e-01,9.568084341540568534e-04,5.773749939853473913e-05,-1.072895805136243617e-06
6.919000000000000000e+03,1.284640185601549078e-01,3.962461899372353739e-04,5.785908483867099661e-05,-8.260867805950275430e-07
6.920000000000000000e+03,1.280473227182288010e-01,5.088953528608478397e-04,5.773407147064445920e-05,-9.169441513354176622e-07
7.042000000000000000e+03,1.278866860551383100e-01,-9.466926582129854811e-04,5.732141866821287307e-05,-4.989808923194466624e-07
7.075000000000000000e+03,1.259955717981144918e-01,-6.982341820543108051e-04,5.669520490170571527e-05,2.570012461852739570e-07
7.076000000000000000e+03,1.254387915526166131e-01,-8.435055577718456737e-04,5.647358103580445084e-05,3.969680063815575915e-07
7.244000000000000000e+03,1.293782680560496001e-01,7.918035795695935923e-04,5.820809545272337133e-05,-8.427186405070350421e-07
7.263000000000000000e+03,7.103565833968997212e-02,8.696904362296070190e-04,1.894617204672774657e-05,1.187082137552069323e-06
7.393000000000000000e+03,1.269307316017521947e-01,-6.771392052528504108e-04,5.708764876764968693e-05,-3.276772014179695108e-07
7.394000000000000000e+03,1.275854974440998046e-01,-6.842989759185188082e-04,5.737859607774223791e-05,-5.716962459092667887e-07
7.395000000000000000e+03,1.272581145229260136e-01,-6.807190905856846637e-04,5.725823680481862619e-05,-5.032493671045156500e-07
7.404000000000000000e+03,8.224475605958250779e-02,-2.516244637488913817e-04,2.120289796527011206e-05,1.450675085215065559e-06
7.449000000000000000e+03,1.533384076247187033e-01,7.518491996823892937e-04,6.812859949251469415e-05,-1.577491661677073526e-06
7.450000000000000000e+03,1.552328289716221887e-01,3.267040619782878800e-04,6.913822248102053248e-05,-1.840614768872671788e-06
7.492000000000000000e+03,5.933881616218623228e-02,-6.638199603984798816e-04,1.572315279253129754e-05,7.791247642557946603e-07
7.535000000000000000e+03,1.297129236004639918e-01,-2.522889836180309932e-05,5.830042987589061543e-05,-6.023830147353222711e-07
7.537000000000000000e+03,1.302610318589225991e-01,-5.987038083565774391e-04,5.851669898962089762e-05,-5.010867524610633987e-07
7.637000000000000000e+03,1.287986741045691885e-01,-4.207862879941613754e-04,5.782446197065102441e-05,-5.883690537499673386e-07
7.638000000000000000e+03,1.290884710803094082e-01,1.855086457877161085e-04,5.803864251769397264e-05,-6.976570027386782614e-07
7.687000000000000000e+03,1.282303077586872120e-01,-5.181286961309886519e-04,5.759994095331152637e-05,-6.007797343773354945e-07
7.688000000000000000e+03,1.279079026013935083e-01,-6.012138360247538385e-04,5.748124524631792400e-05,-5.992057679017428855e-07
7.795000000000000000e+03,1.264631516999334127e-01,-6.876866936535806080e-04,5.688084240206165169e-05,8.843126212541493114e-09
7.823000000000000000e+03,1.335727043621434962e-01,-4.534147304565604923e-04,6.007156572819524141e-05,-7.095770365362820493e-07
7.824000000000000000e+03,1.326686621005304101e-01,-2.058768575745363865e-04,5.971326585069973317e-05,-6.844089820906627391e-07
7.837000000000000000e+03,1.351513888387466944e-01,1.503510224892533906e-04,6.074305403717668132e-05,-9.036739950791257195e-07
7.838000000000000000e+03,1.346473958327913112e-01,-8.718499955090784452e-04,6.047715422007443180e-05,-7.781658481097906231e-07
7.917000000000000000e+03,1.630920375483707052e-01,-1.792378029369357155e-05,7.212780342590463121e-05,-2.185463902485723211e-06
7.943000000000000000e+03,1.285780397907556882e-01,-7.956740113225204076e-04,5.765665926165513264e-05,-5.067755825911452503e-07
7.956000000000000000e+03,1.266342824182410121e-01,4.583268940510104193e-04,5.726996770355216127e-05,-1.570936288868797027e-06
7.999000000000000000e+03,6.661837165455902765e-02,2.791746675207409196e-04,1.808069433571144399e-05,6.807849154085520753e-07
8.000000000000000000e+03,1.278183112929890952e-01,-7.855279756313978843e-05,5.767864421028827621e-05,-7.482115332489614094e-07
8.016000000000000000e+03,1.662930409773049067e-01,1.456423425204908105e-04,7.290368009019812274e-05,-1.906067362241455457e-06
8.071000000000000000e+03,1.312213266653297905e-01,2.401965726771152041e-04,5.914645080653275485e-05,-6.145471702767140288e-07
